,created_year,created_month,price quantile_50high_conversion,price quantile_75high_conversion,price quantile_90high_conversion,price quantile_50all,price quantile_75all,price quantile_90all,yearmonth,price quantile_50_more1lead,price quantile_75_more1lead,price quantile_90_more1lead
0,2019,09,39900.0,82600.0,111960.0,22700.0,36900.0,56900.0,201909,23800.0,56500.0,86920.00000000003
1,2019,10,17900.0,38495.0,52360.000000000015,25500.0,40500.0,63290.0,201910,26350.0,45475.0,75530.0
2,2019,11,5999.0,18900.0,31120.0,21496.0,35800.0,54900.0,201911,8100.0,24400.0,69210.00000000004
3,2019,12,11900.0,23400.0,48180.000000000015,8500.0,20953.0,38800.0,201912,29700.0,39900.0,64900.00000000003
4,2020,01,9800.0,21990.0,42500.000000000015,8900.0,23900.0,43250.90000000001,202001,10850.0,27900.0,49700.000000000015
5,2020,02,13400.0,29425.0,50770.000000000015,9900.0,24900.0,43890.0,202002,11990.0,29825.0,55450.000000000044
6,2020,03,11900.0,25625.0,58700.00000000003,9900.0,25066.5,43990.0,202003,13850.0,29900.0,72600.00000000001
7,2020,04,5900.0,10374.25,22190.0,17500.0,34950.0,57900.0,202004,8900.0,19250.0,44019.0
8,2020,05,11940.0,20662.5,35050.000000000015,11900.0,26999.0,47500.0,202005,11900.0,25900.0,38599.99999999999
9,2020,06,7499.0,16000.0,28100.000000000007,11800.0,26700.0,45989.8,202006,9900.0,19922.5,34900.0
10,2020,07,8350.0,17350.0,29395.000000000004,12800.0,27990.0,47600.0,202007,10900.0,21817.5,39640.00000000001
11,2020,08,10000.0,19850.0,36699.999999999985,11500.0,26900.0,46500.0,202008,12000.0,24850.0,44900.0
12,2020,09,9500.0,19800.0,36970.00000000001,13800.0,29800.0,49200.0,202009,10500.0,20900.0,37999.0
13,2020,10,9998.0,20250.0,34980.00000000001,15800.0,32900.0,52000.0,202010,11875.0,23999.0,39900.0
14,2020,11,9600.0,19500.0,35940.0,13990.0,30700.0,51000.0,202011,10600.0,21900.0,38000.0
15,2020,12,9500.0,17900.0,34500.0,12900.0,29500.0,49250.0,202012,9900.0,19900.0,34900.0
16,2021,01,11880.0,21900.0,38000.0,12999.0,29700.0,49800.0,202101,12800.0,22900.0,39049.49999999999
17,2021,02,10000.0,20950.0,39748.0,13990.0,30300.0,49900.0,202102,11600.0,23940.0,39900.0
18,2021,03,9500.0,20000.0,37500.0,14500.0,31000.0,51100.0,202103,10700.0,21900.0,38900.0
19,2021,04,9900.0,18980.0,33569.0,13500.0,29900.0,49900.0,202104,9990.0,19900.0,35800.0
20,2021,05,9900.0,19650.0,30820.0,13499.0,29900.0,49900.0,202105,9549.5,18922.5,34710.00000000003
